,URL,Rank,Phishing Score,DGA Score,Malware Score,Phishing Classifier
0,http://www.papercamp.com/group/story-of-man-in-dapitan-by-loreto-paras-sulit/page-0,92329,0.2602739726,0.0052833615,0.912443055,0
1,http://www.spirit-of-metal.com/album-groupe-Garden_Of_Eden-nom_album-A_Halandosag_Kertje-l-de.html,65937,0.0236243749,0.0485397071,0.9550858388,0
2,http://www.jwpepper.com/sheet-music/brass/brass-ensembles/by-style/brass-ensemble-broadway-music.list,22456,0.0822779172,0.0244665348,0.8801541543,0
3,https://www.govtrack.us/registration/signup,43549,0.8,0.0233692548,0.9847113443,1
4,http://mon-ze.blogspot.com/,43,0.96,0.0130377356,0.3085147177,1
5,http://www.filmcrave.com/movie_page_main.php,246952,0.7614285714,0.0184330206,0.9150127893,1
6,http://www.lostateminor.com/tag/copenhagen-fashion-week/feed/,34494,0.4,0.0146668849,0.9567739688,0
7,http://www.helzberg.com/product/black+and+white+diamond+ring+1987172.do,48427,0.0090292572,0.136540681,0.9270747928,0
8,http://www.familytreewriter.com/2011/04/amanuensis-monday-warner-l-jones-family-enjoys-guests/,-1,0.4735812207,0.1084413417,0.9564201568,0
9,http://www.royalsauthority.com/song-remains-the-same/,-1,0.82,0.0258009046,0.942968678,1
10,http://www.arkivverket.no/URN:kb_read,87166,0.98,0.0752579039,0.9570634096,1
11,http://www.cancer.gov/Common/PopUps/Email.aspx,15412,0.68,0.0092586564,0.8471036802,1
12,http://www.mckinsey.com/insights/strategy/global_forces_shaping_the_future_of_business_and_society,8650,0.3279684998,0.0292900972,0.913869442,0
13,http://ga.psu.edu/Information/News/Archive/33585.htm,1721,0.2035578947,3.94944707740916E-05,0.1960485895,0
14,http://www.lohud.com/article/20121205/NEWS02/312050057/,38605,0.5002044995,0.2785680783,0.737234947,0
15,http://cdm16313.contentdm.oclc.org/cdm/search/searchterm/tin-,9436,0.72,0.000499002,0.1322624767,1
16,http://master-fimo.ru/articles/,-1,0.976,0.0300933534,0.6667547077,1
17,https://casino.betsson.com/no/,15110,0.92,0.0426086224,0.2072597361,1
18,http://nl.urbandictionary.com/define.php,626,0.94,0.0179547249,0.1387942332,1
19,http://www.matt-hughes.com/forums/showpost.php,-1,0.96,0.7645988036,0.9546049666,1
20,http://www.carlvinoparis.com/product_info.php/pName/sbmsz2441-blue-white/cName/style-by-me-collection-spring-summer-tops-blouse,-1,0.142335517,0.0080992917,0.9550525636,0
21,http://www.forumwarz.com/discussions/view_post/59271,-1,0.86,0.0382326543,0.9070786658,1
22,http://www.pdx.edu/dmss/news/charles-rynerson-and-richard-lycan-present-paper-school-demography-san-diego,14608,0.1458230152,0,0.3788734331,0
23,http://www.f1fanatic.co.uk/2010/07/24/german-grand-prix-qualifying-in-pictures-2/german-grand-prix-f12010-hockenheim-24072010-6/,38847,0.2813590433,0.0171255137,0.860560706,0
24,http://www.sonicelectronix.com/cat_f31-98_m28_i184_mtx-marine-subwoofers-4-ohm.html,19763,0.1816340215,0.0441967938,0.9564201568,0
25,http://www.outdoorresearch.com/en/or-gear/pants.html,58831,0.64,0.0343151761,0.9570291232,1
26,http://www.mountaindynamics.com/en/sdtbl.php,-1,0.96,0.0361461046,0.9566470094,1
27,http://community.midwiferytoday.com/tags/midwife+student/apprenticeship+student/Midwife/beginning/internships/default.aspx,314662,0.0708097908,0.2153280487,0.7064547675,0
28,http://www.moddb.com/games/void-of-darkness/images/void-of-darkness-screen-shots6,3971,0.2716098519,0.031224538,0.7674394776,0
29,http://www.corpwatch.org/article.php,496591,0.84,0.0271775951,0.9143175923,1
30,http://4ndroid.com/nexus-s/,-1,0.96,0.009512725,0.3193033617,1
31,http://www.pianodisc.com/user-guides/,-1,0.94,0.0097581243,0.9196445816,1
32,http://www.bernhardtfh.com/home/index.cfm,-1,0.94,0.4695123389,0.9271876594,1
33,https://www.ethicalhacker.net/forums/viewtopic.php,631577,0.7866666667,0.0108783084,0.6770283404,1
34,https://www.causes.com/profiles/107117826,42604,0.78,0.0885085608,0.8568117808,1
35,http://www.hyperion-records.co.uk/tw.asp,196128,0.9,0.0366081223,0.9666523238,1
36,http://www.dmnews.com/direct-mail/congress-needs-to-amend-postal-reform/article/84569/,77955,0.2226963031,0.1105505698,0.9300177509,0
37,http://www.timesherald.com/article/20130514/SPORTS/130519761&template=emailfriend,304942,0.362114722,0.0095520539,0.8762110626,0
38,http://www.nysut.org/cps/rde/xchg/nysut/hs.xsl/newyorkteacher_051020nyt_1.htm,401371,0.1052042463,0.1142555572,0.692447489,0
39,https://pt.wikipedia.org/wiki/Categoria:Teatros_por_cidade,7,0.3266666667,0.0086736992,0.1138581139,0
40,http://www.quickship.com/genuine-joe-dustmop-frame-chrome~695890,-1,0.74,0.017226567,0.9265410945,1
41,http://www.autoanything.com/brakes/77A2854A2327243.aspx,9129,0.32,0.00502412,0.713910718,0
42,http://www.freshairpro.com/iqair,-1,1,0.0196172917,0.9360174216,1
43,http://www.weather.com/weather/today/l/USMO0298:1,160,0.7,0.0055520818,0.9236019391,1
44,http://www.makeupalley.com/product/showreview.asp/ItemId=84993/Bienfait-Multi-Vital-Teinte-SPF-30-/Lancome/Tinted-Moisturizer,8017,0.0010203195,0.016392421,0.9378774159,0
45,http://www.democraticunderground.com/,13139,0.96,0.4630746999,0.95351961,1
