,URL,Rank,Phishing Score,DGA Score,Malware Score,Phishing Classifier
0,http://www.papercamp.com/group/story-of-man-in-dapitan-by-loreto-paras-sulit/page-0,92329,0,0,0,0
1,http://www.spirit-of-metal.com/album-groupe-Garden_Of_Eden-nom_album-A_Halandosag_Kertje-l-de.html,65937,0,0,0,0
2,http://www.jwpepper.com/sheet-music/brass/brass-ensembles/by-style/brass-ensemble-broadway-music.list,22456,0,0,0,0
3,https://www.govtrack.us/registration/signup?next=/congress/bills/subjects/four_day_week/3483%23track,43549,0,0,0,0
4,http://www.filmcrave.com/movie_page_main.php?id=21440,246952,0,0,0,0
5,http://www.lostateminor.com/tag/copenhagen-fashion-week/feed/,34494,0,0,0,0
6,http://www.helzberg.com/product/black+and+white+diamond+ring+1987172.do?sortby=bestSellers&page=5,48427,0,0,0,0
7,http://www.arkivverket.no/URN:kb_read?urnread_imagesize=full&show=391&uid=40946,87166,0,0,0,0
8,http://www.cancer.gov/Common/PopUps/Email.aspx?title=Preguntas+para+el+doctor+despu%C3%A9s+de+enterarse+que+usted+tiene+c%C3%A1ncer&docurl=%2Fespanol%2Frecursos%2Fpreguntas%2Fdiagnostico&language=es&a=14352C82338&b=1869h9,15412,0,0,0,0
9,http://www.mckinsey.com/insights/strategy/global_forces_shaping_the_future_of_business_and_society,8650,0,0,0,0
10,http://ga.psu.edu/Information/News/Archive/33585.htm,1721,0,0,0,0
11,http://www.lohud.com/article/20121205/NEWS02/312050057/,38605,0,0,0,0
12,https://casino.betsson.com/no/?from=pb3q_Z9rfbRgXIQR7NzI-WNd7ZgqdRLk-ZVhwbGljaXQ=,15110,0,0,0,0
13,http://www.pdx.edu/dmss/news/charles-rynerson-and-richard-lycan-present-paper-school-demography-san-diego,14608,0,0,0,0
14,http://www.f1fanatic.co.uk/2010/07/24/german-grand-prix-qualifying-in-pictures-2/german-grand-prix-f12010-hockenheim-24072010-6/,38847,0,0,0,0
15,http://www.sonicelectronix.com/cat_f31-98_m28_i184_mtx-marine-subwoofers-4-ohm.html?filter_in_stock=no,19763,0,0,0,0
16,http://www.outdoorresearch.com/en/or-gear/pants.html?technology=463,58831,0,0,0,0
17,http://community.midwiferytoday.com/tags/midwife+student/apprenticeship+student/Midwife/beginning/internships/default.aspx,314662,0,0,0,0
18,http://www.moddb.com/games/void-of-darkness/images/void-of-darkness-screen-shots6,3971,0,0,0,0
19,http://www.corpwatch.org/article.php?list=classt&class=3&type=124&offset=40,496591,0,0,0,0
20,https://www.ethicalhacker.net/forums/viewtopic.php?t=10623.msg58001/viewtopic.php?f=69&t=10623&view=next,631577,0,0,0,0
21,http://www.hyperion-records.co.uk/tw.asp?w=W8336&t=GBAJY9263010&al=CDS44281/6&vw=dc,196128,0,0,0,0
22,http://www.dmnews.com/direct-mail/congress-needs-to-amend-postal-reform/article/84569/,77955,0,0,0,0
23,http://www.timesherald.com/article/20130514/SPORTS/130519761&template=emailfriend,304942,0,0,0,0
24,http://www.nysut.org/cps/rde/xchg/nysut/hs.xsl/newyorkteacher_051020nyt_1.htm,401371,0,0,0,0
25,https://pt.wikipedia.org/wiki/Categoria:Teatros_por_cidade,7,0,0,0,0
26,http://www.autoanything.com/brakes/77A2854A2327243.aspx,9129,0,0,0,0
27,http://www.makeupalley.com/product/showreview.asp/ItemId=84993/Bienfait-Multi-Vital-Teinte-SPF-30-/Lancome/Tinted-Moisturizer,8017,0,0,0,0
28,http://www.democraticunderground.com/?com=thread&address=10021448614&info=1,13139,0,0,0,0
29,http://ourfuture.org/20070926/159-congresspeople-vote-for-bad-government-and-sicker-kids?destination=taxonomy%2Fterm%2F168,219416,0,0,0,0
30,http://pqasb.pqarchiver.com/poughkeepsiejournal/results.html?QryTxt=%22ID_Code%3A+BK-302240052%22&datetype=6&frommonth=01&fromday=01&fromyear=2013&tomonth=12&today=31&toyear=2013,137869,0,0,0,0
